Instance,Terminal,Layer,X location,Y location,Voltage
clkbuf_2_0__f_clk,VGND,li1,25.7600,21.7600,0.000012
clkbuf_0_clk,VGND,li1,30.3600,38.0800,0.000010
MIPSpipeline_36,VGND,li1,59.1100,10.8800,0.000000
fanout35,VGND,li1,58.4200,32.6400,0.000004
fanout34,VGND,li1,47.3800,43.5200,0.000003
fanout33,VGND,li1,56.1200,27.2000,0.000003
fanout32,VGND,li1,41.8600,21.7600,0.000008
output31,VGND,li1,7.8200,38.0800,0.000004
output30,VGND,li1,7.8200,43.5200,0.000002
output29,VGND,li1,7.8200,43.5200,0.000002
output28,VGND,li1,7.8200,54.4000,0.000001
output27,VGND,li1,30.3600,65.2800,0.000000
output26,VGND,li1,33.5800,65.2800,0.000000
output25,VGND,li1,24.8400,65.2800,0.000000
output24,VGND,li1,51.5200,10.8800,0.000000
output23,VGND,li1,58.8800,16.3200,0.000004
output22,VGND,li1,23.0000,65.2800,0.000000
output21,VGND,li1,58.8800,21.7600,0.000009
output20,VGND,li1,57.0400,21.7600,0.000009
output19,VGND,li1,58.4200,38.0800,0.000002
output18,VGND,li1,58.8800,21.7600,0.000009
output17,VGND,li1,58.8800,38.0800,0.000002
output16,VGND,li1,57.9600,48.9600,0.000009
output15,VGND,li1,58.8800,65.2800,0.000000
output14,VGND,li1,52.4400,65.2800,0.000000
output13,VGND,li1,58.8800,59.8400,0.000001
output12,VGND,li1,58.8800,43.5200,0.000003
output11,VGND,li1,56.1200,43.5200,0.000003
output10,VGND,li1,57.0400,38.0800,0.000002
output9,VGND,li1,36.8000,10.8800,0.000000
output8,VGND,li1,40.0200,10.8800,0.000000
output7,VGND,li1,33.5800,10.8800,0.000000
output6,VGND,li1,30.3600,10.8800,0.000000
output5,VGND,li1,20.7000,10.8800,0.000000
output4,VGND,li1,17.4800,10.8800,0.000000
output3,VGND,li1,7.8200,32.6400,0.000000
output2,VGND,li1,7.8200,27.2000,0.000002
input1,VGND,li1,58.1900,16.3200,0.000004
MIPSpipeline_37,VGND,li1,48.0700,65.2800,0.000000
TAP_TAPCELL_ROW_19_83,VGND,li1,57.2700,64.9880,0.000000
TAP_TAPCELL_ROW_19_82,VGND,li1,44.3900,64.9880,0.000000
TAP_TAPCELL_ROW_19_81,VGND,li1,31.5100,64.9880,0.000000
TAP_TAPCELL_ROW_19_80,VGND,li1,18.6300,64.9880,0.000000
TAP_TAPCELL_ROW_18_79,VGND,li1,44.3900,60.1310,0.000002
TAP_TAPCELL_ROW_18_78,VGND,li1,18.6300,60.1310,0.000002
TAP_TAPCELL_ROW_17_77,VGND,li1,57.2700,59.5480,0.000001
TAP_TAPCELL_ROW_17_76,VGND,li1,31.5100,59.5480,0.000001
TAP_TAPCELL_ROW_16_75,VGND,li1,44.3900,54.6910,0.000002
TAP_TAPCELL_ROW_16_74,VGND,li1,18.6300,54.6910,0.000001
TAP_TAPCELL_ROW_15_73,VGND,li1,57.2700,54.1080,0.000004
TAP_TAPCELL_ROW_15_72,VGND,li1,31.5100,54.1080,0.000002
TAP_TAPCELL_ROW_14_71,VGND,li1,44.3900,49.2510,0.000009
TAP_TAPCELL_ROW_14_70,VGND,li1,18.6300,49.2510,0.000007
TAP_TAPCELL_ROW_13_69,VGND,li1,57.2700,48.6680,0.000009
TAP_TAPCELL_ROW_13_68,VGND,li1,31.5100,48.6680,0.000005
TAP_TAPCELL_ROW_12_67,VGND,li1,44.3900,43.8110,0.000003
TAP_TAPCELL_ROW_12_66,VGND,li1,18.6300,43.8110,0.000003
TAP_TAPCELL_ROW_11_65,VGND,li1,57.2700,43.2280,0.000003
TAP_TAPCELL_ROW_11_64,VGND,li1,31.5100,43.2280,0.000002
TAP_TAPCELL_ROW_10_63,VGND,li1,44.3900,38.3710,0.000003
TAP_TAPCELL_ROW_10_62,VGND,li1,18.6300,38.3710,0.000005
TAP_TAPCELL_ROW_9_61,VGND,li1,57.2700,37.7880,0.000002
TAP_TAPCELL_ROW_9_60,VGND,li1,31.5100,37.7880,0.000010
TAP_TAPCELL_ROW_8_59,VGND,li1,44.3900,32.9310,0.000002
TAP_TAPCELL_ROW_8_58,VGND,li1,18.6300,32.9310,0.000000
TAP_TAPCELL_ROW_7_57,VGND,li1,57.2700,32.3480,0.000004
TAP_TAPCELL_ROW_7_56,VGND,li1,31.5100,32.3480,0.000000
TAP_TAPCELL_ROW_6_55,VGND,li1,44.3900,27.4910,0.000004
TAP_TAPCELL_ROW_6_54,VGND,li1,18.6300,27.4910,0.000002
TAP_TAPCELL_ROW_5_53,VGND,li1,57.2700,26.9080,0.000003
TAP_TAPCELL_ROW_5_52,VGND,li1,31.5100,26.9080,0.000002
TAP_TAPCELL_ROW_4_51,VGND,li1,44.3900,22.0510,0.000009
TAP_TAPCELL_ROW_4_50,VGND,li1,18.6300,22.0510,0.000007
TAP_TAPCELL_ROW_3_49,VGND,li1,57.2700,21.4680,0.000009
TAP_TAPCELL_ROW_3_48,VGND,li1,31.5100,21.4680,0.000008
TAP_TAPCELL_ROW_2_47,VGND,li1,44.3900,16.6110,0.000004
TAP_TAPCELL_ROW_2_46,VGND,li1,18.6300,16.6110,0.000004
TAP_TAPCELL_ROW_1_45,VGND,li1,57.2700,16.0280,0.000004
TAP_TAPCELL_ROW_1_44,VGND,li1,31.5100,16.0280,0.000003
TAP_TAPCELL_ROW_0_43,VGND,li1,57.2700,11.1710,0.000000
TAP_TAPCELL_ROW_0_42,VGND,li1,44.3900,11.1710,0.000000
TAP_TAPCELL_ROW_0_41,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_40,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_19_Left_39,VGND,li1,6.2100,65.2800,0.000000
PHY_EDGE_ROW_18_Left_38,VGND,li1,6.2100,59.8400,0.000001
PHY_EDGE_ROW_17_Left_37,VGND,li1,6.2100,59.8400,0.000001
PHY_EDGE_ROW_16_Left_36,VGND,li1,6.2100,54.4000,0.000001
PHY_EDGE_ROW_15_Left_35,VGND,li1,6.2100,54.4000,0.000001
PHY_EDGE_ROW_14_Left_34,VGND,li1,6.2100,48.9600,0.000005
PHY_EDGE_ROW_13_Left_33,VGND,li1,6.2100,48.9600,0.000005
PHY_EDGE_ROW_12_Left_32,VGND,li1,6.2100,43.5200,0.000002
PHY_EDGE_ROW_11_Left_31,VGND,li1,6.2100,43.5200,0.000002
PHY_EDGE_ROW_10_Left_30,VGND,li1,6.2100,38.0800,0.000004
PHY_EDGE_ROW_9_Left_29,VGND,li1,6.2100,38.0800,0.000004
PHY_EDGE_ROW_8_Left_28,VGND,li1,6.2100,32.6400,0.000000
PHY_EDGE_ROW_7_Left_27,VGND,li1,6.2100,32.6400,0.000000
PHY_EDGE_ROW_6_Left_26,VGND,li1,6.2100,27.2000,0.000002
PHY_EDGE_ROW_5_Left_25,VGND,li1,6.2100,27.2000,0.000002
PHY_EDGE_ROW_4_Left_24,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_3_Left_23,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_2_Left_22,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_1_Left_21,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_0_Left_20,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_19_Right_19,VGND,li1,60.4900,65.2800,0.000000
PHY_EDGE_ROW_18_Right_18,VGND,li1,60.4900,59.8400,0.000001
PHY_EDGE_ROW_17_Right_17,VGND,li1,60.4900,59.8400,0.000001
PHY_EDGE_ROW_16_Right_16,VGND,li1,60.4900,54.4000,0.000004
PHY_EDGE_ROW_15_Right_15,VGND,li1,60.4900,54.4000,0.000004
PHY_EDGE_ROW_14_Right_14,VGND,li1,60.4900,48.9600,0.000009
PHY_EDGE_ROW_13_Right_13,VGND,li1,60.4900,48.9600,0.000009
PHY_EDGE_ROW_12_Right_12,VGND,li1,60.4900,43.5200,0.000003
PHY_EDGE_ROW_11_Right_11,VGND,li1,60.4900,43.5200,0.000003
PHY_EDGE_ROW_10_Right_10,VGND,li1,60.4900,38.0800,0.000002
PHY_EDGE_ROW_9_Right_9,VGND,li1,60.4900,38.0800,0.000002
PHY_EDGE_ROW_8_Right_8,VGND,li1,60.4900,32.6400,0.000004
PHY_EDGE_ROW_7_Right_7,VGND,li1,60.4900,32.6400,0.000004
PHY_EDGE_ROW_6_Right_6,VGND,li1,60.4900,27.2000,0.000003
PHY_EDGE_ROW_5_Right_5,VGND,li1,60.4900,27.2000,0.000003
PHY_EDGE_ROW_4_Right_4,VGND,li1,60.4900,21.7600,0.000009
PHY_EDGE_ROW_3_Right_3,VGND,li1,60.4900,21.7600,0.000009
PHY_EDGE_ROW_2_Right_2,VGND,li1,60.4900,16.3200,0.000004
